,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
288,Namatanai,PG,-3.6667,152.4333,79.21,81,100,7.31,overcast clouds
289,Port Lincoln,AU,-34.7333,135.8667,53.73,74,37,22.84,light rain
290,Andra,RU,62.5147,65.8878,58.6,87,100,6.62,moderate rain
291,Bonavista,CA,48.6499,-53.1147,57.67,74,100,8.75,overcast clouds
292,Touros,BR,-5.1989,-35.4608,84.09,60,20,14.47,few clouds
293,Hurricane,US,37.1753,-113.2899,78.03,49,99,1.28,overcast clouds
294,Labuhan,ID,-6.8844,112.2051,80.28,78,20,9.35,few clouds
295,Phangnga,TH,8.4509,98.5298,82.44,89,100,3.83,moderate rain
296,Pierre,US,44.3683,-100.351,74.05,76,75,12.66,broken clouds
297,Samarai,PG,-10.6167,150.6667,78.8,81,96,18.28,overcast clouds
298,Visnes,NO,59.3556,5.2242,70.18,73,40,17.27,scattered clouds
299,Ponta Do Sol,PT,32.6667,-17.1,78.01,69,53,5.91,broken clouds
300,Bor,RU,56.3567,44.0669,75.13,45,1,7.07,clear sky
301,Krasnoshchekovo,RU,51.6708,82.7289,61.7,89,48,4.52,moderate rain
302,Taltal,CL,-25.4,-70.4833,58.3,71,87,1.99,overcast clouds
303,Hofn,IS,64.2539,-15.2082,52.5,77,6,14.34,clear sky
304,Sao Filipe,CV,14.8961,-24.4956,79.93,69,0,15.17,clear sky
305,Carutapera,BR,-1.195,-46.02,84.83,65,70,8.63,broken clouds
306,Baykit,RU,61.67,96.37,52.95,68,30,4.65,scattered clouds
307,Rundu,NA,-17.9333,19.7667,88.45,4,0,6.91,clear sky
308,Teluknaga,ID,-6.0989,106.6381,84.24,74,40,5.75,haze
309,Beihai,CN,21.4833,109.1,81.5,81,100,15.26,overcast clouds
310,Omboue,GA,-1.5746,9.2618,79.02,66,98,11.27,overcast clouds
311,Fortuna,US,40.5982,-124.1573,60.93,93,100,0.0,overcast clouds
312,Acarau,BR,-2.8856,-40.12,86.5,56,91,14.05,overcast clouds
313,Bara,NG,10.3744,10.7288,74.19,84,100,8.32,overcast clouds
314,Sitka,US,57.0531,-135.33,55.29,94,40,0.0,fog
315,Walvis Bay,NA,-22.9575,14.5053,56.08,52,9,10.78,clear sky
316,Iranshahr,IR,27.2025,60.6848,106.29,7,100,21.14,overcast clouds
317,Urucui,BR,-7.2294,-44.5561,94.17,23,1,8.84,clear sky
318,Salug,PH,8.1147,122.7833,79.57,81,25,0.58,scattered clouds
319,Buala,SB,-8.145,159.5921,79.27,82,67,3.98,light rain
320,Toppenish,US,46.3774,-120.3087,70.36,66,0,2.37,clear sky
321,Kodiak,US,57.79,-152.4072,54.91,94,100,8.05,light rain
322,Fairbanks,US,64.8378,-147.7164,42.6,88,20,4.61,few clouds
323,Chany,RU,55.3121,76.7647,71.42,68,100,11.48,overcast clouds
324,Iquique,CL,-20.2208,-70.1431,59.04,65,21,0.94,few clouds
325,Pisco,PE,-13.7,-76.2167,59.02,87,81,4.47,broken clouds
326,Ballina,AU,-28.8667,153.5667,56.01,99,100,7.29,overcast clouds
327,Itoman,JP,26.1247,127.6694,84.22,79,75,5.75,broken clouds
328,Shihezi,CN,44.3,86.0333,87.06,32,100,5.46,overcast clouds
329,Ruteng,ID,-8.6136,120.4721,61.38,95,14,2.17,few clouds
330,Skelleftea,SE,64.7507,20.9528,70.16,35,0,18.41,clear sky
331,Broome,US,42.2506,-75.833,75.45,67,0,6.91,clear sky
332,Westerland,DE,54.9079,8.3033,83.01,50,0,9.22,clear sky
333,Chapais,CA,49.7834,-74.8492,55.18,92,100,9.57,overcast clouds
334,Sibolga,ID,1.7427,98.7792,76.84,81,66,3.24,broken clouds
335,San Cristobal,VE,7.7669,-72.225,80.78,50,19,6.46,few clouds
336,San Joaquin,US,37.9333,-121.3011,65.52,83,0,3.62,clear sky
337,Ous,RU,60.9058,61.5186,64.58,67,56,10.31,broken clouds
338,Ayorou,NE,14.7308,0.9174,99.3,31,37,4.59,scattered clouds
339,Tarsus,TR,36.9188,34.8784,87.57,62,12,13.53,few clouds
340,Lata,PT,40.1629,-8.3327,84.49,48,0,9.91,clear sky
341,Adrar,MR,20.5022,-10.0711,102.33,23,10,8.61,clear sky
342,Tynda,RU,55.1667,124.7167,53.87,89,100,3.38,overcast clouds
343,Gidole,ET,5.65,37.3667,65.3,57,93,4.34,overcast clouds
344,Haines Junction,CA,60.7522,-137.5108,46.81,94,100,0.11,overcast clouds
345,Nouakchott,MR,18.0858,-15.9785,102.13,62,98,12.5,overcast clouds
346,Zlobin,HR,45.2924,14.6541,80.15,27,20,12.66,few clouds
347,Bokajan,IN,26.0167,93.7833,81.46,87,59,3.11,broken clouds
