City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
285,Kamennogorsk,RU,75.29,broken clouds,60.9545,29.1339,"Serafima, Gostinitsa"
288,Namatanai,PG,79.21,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
292,Touros,BR,84.09,few clouds,-5.1989,-35.4608,INN NEW HORIZON
293,Hurricane,US,78.03,overcast clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
294,Labuhan,ID,80.28,few clouds,-6.8844,112.2051,DoubleFAG
295,Phangnga,TH,82.44,moderate rain,8.4509,98.5298,Sunimit Mansion
297,Samarai,PG,78.8,overcast clouds,-10.6167,150.6667,Nuli Sapi
299,Ponta Do Sol,PT,78.01,broken clouds,32.6667,-17.1,Hotel do Campo
300,Bor,RU,75.13,clear sky,56.3567,44.0669,Oktyabrskaya Hotel
304,Sao Filipe,CV,79.93,clear sky,14.8961,-24.4956,Hotel Xaguate
305,Carutapera,BR,84.83,broken clouds,-1.195,-46.02,Lidera
307,Rundu,,88.45,clear sky,-17.9333,19.7667,Millennia Estate
308,Teluknaga,ID,84.24,haze,-6.0989,106.6381,Kost Mewah (Mepet Sawah)
309,Beihai,CN,81.5,overcast clouds,21.4833,109.1,21 Degree Hostel
310,Omboue,GA,79.02,overcast clouds,-1.5746,9.2618,Hotel Olako
312,Acarau,BR,86.5,overcast clouds,-2.8856,-40.12,castelo pizzaria
318,Salug,PH,79.57,scattered clouds,8.1147,122.7833,Jesser's House
319,Buala,SB,79.27,light rain,-8.145,159.5921,Maringe Lagoon Lodge
327,Itoman,JP,84.22,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
328,Shihezi,CN,87.06,overcast clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
331,Broome,US,75.45,clear sky,42.2506,-75.833,Chenango Valley State Park
